Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
MRPS6	C21orf101, MRP-S6, RPMS6	ENSG00000243927	Mitochondrial ribosomal protein S6	21	34073224-34143034	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA007861, HPA049676	Supported				Urothelial cancer:1.06e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 121.0	Expressed in all		
MRPS7	MRP-S, RP-S7, RPMS7	ENSG00000125445	Mitochondrial ribosomal protein S7	17	75261674-75266373	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA022522, HPA023007	Supported		Approved	Mitochondria	Colorectal cancer:1.12e-4 (favourable), Liver cancer:3.13e-4 (unfavourable)	Expressed in all	Expressed in all			heart muscle: 60.8	Expressed in all		
MRPS9	MRP-S9, RPMS9, S9mt	ENSG00000135972	Mitochondrial ribosomal protein S9	2	105037983-105099960	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043476, HPA048479	Enhanced		Enhanced	Nucleoli<br>Mitochondria	Liver cancer:4.43e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 57.4	Expressed in all		
MRTO4	C1orf33, dJ657E11.4, MRT4	ENSG00000053372	MRT4 homolog, ribosome maturation factor	1	19251539-19260128	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA026446	Approved		Approved	Nucleus<br>Nuclear membrane<br>Nucleoli	Liver cancer:1.56e-8 (unfavourable), Renal cancer:4.11e-8 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 25.7	Expressed in all		
NHP2	FLJ20479, NOLA2	ENSG00000145912	NHP2 ribonucleoprotein	5	178149460-178153967	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA044171, HPA050400	Enhanced		Supported	Nucleoplasm<br>Cytosol	Endometrial cancer:4.97e-4 (unfavourable), Liver cancer:5.24e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 114.9	Expressed in all		
NSA2	FLJ94393, HCLG1, HUSSY-29, TINP1	ENSG00000164346	NSA2, ribosome biogenesis homolog	5	74766991-74780113	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043487	Approved		Supported	Nucleus<br>Nucleoli		Expressed in all	Expressed in all			ovary: 73.8	Expressed in all		
PTCD3	DKFZp666K071, FLJ20758	ENSG00000132300	Pentatricopeptide repeat domain 3	2	86106182-86142157	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA041154, HPA041382	Supported		Enhanced	Mitochondria	Stomach cancer:6.77e-4 (favourable), Urothelial cancer:6.86e-4 (favourable)	Expressed in all	Expressed in all			testis: 31.2	Expressed in all		
RACK1	Gnb2-rs1, GNB2L1, H12.3	ENSG00000204628	Receptor for activated C kinase 1	5	181236909-181248096	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	CAB004288, HPA021676	Uncertain		Enhanced	Nucleoplasm<br>Cytosol	Liver cancer:2.98e-6 (unfavourable)	Expressed in all	Expressed in all			ovary: 2103.5	Expressed in all		
RPL10	DXS648, DXS648E, FLJ23544, L10, NOV, QM	ENSG00000147403	Ribosomal protein L10	X	154389955-154409168	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	CAB010339, HPA011311	Enhanced		Enhanced	Endoplasmic reticulum<br>Cytosol	Renal cancer:7.67e-6 (unfavourable)	Expressed in all	Expressed in all			ovary: 9682.7	Expressed in all		
RPL10A	Csa-19, L10A, NEDD6	ENSG00000198755	Ribosomal protein L10a	6	35468408-35470785	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA053803	Approved		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:3.77e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 3924.2	Expressed in all		
RPL10L		ENSG00000165496	Ribosomal protein L10 like	14	46651010-46651821	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA011311	Uncertain		Approved	Endoplasmic reticulum<br>Cytosol		Tissue enriched	Tissue enriched	45	testis: 127.0	rectum: 2.8	Cell line enriched	54	U-2 OS: 40.6
RPL11	L11	ENSG00000142676	Ribosomal protein L11	1	23691779-23696425	Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA002734, HPA074839	Approved		Approved	Vesicles	Renal cancer:5.93e-6 (unfavourable), Breast cancer:2.55e-4 (favourable)	Expressed in all	Expressed in all			ovary: 4915.9	Expressed in all		
RPL12	L12	ENSG00000197958	Ribosomal protein L12	9	127447674-127451405	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA003403	Approved		Approved	Golgi apparatus	Renal cancer:7.42e-7 (unfavourable), Head and neck cancer:5.66e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 3674.5	Expressed in all		
RPL13	BBC1, D16S444E, L13	ENSG00000167526	Ribosomal protein L13	16	89560657-89566828	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA051702	Approved		Enhanced	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Endometrial cancer:6.26e-4 (favourable), Renal cancer:6.64e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 3872.9	Expressed in all		
RPL13A	L13A, TSTA1	ENSG00000142541	Ribosomal protein L13a	19	49487554-49492308	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA038751	Approved		Approved	Nucleoli<br>Cytosol	Renal cancer:1.44e-5 (unfavourable), Liver cancer:9.97e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 4609.7	Expressed in all		
RPL14	CTG-B33, hRL14, L14, RL14	ENSG00000188846	Ribosomal protein L14	3	40457292-40468587	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA004136	Approved		Supported	Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			breast: 312.8	Expressed in all		
RPL15	EC45, L15, RPL10, RPLY10, RPYL10	ENSG00000174748	Ribosomal protein L15	3	23916545-23923692	Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level							Expressed in all	Expressed in all			ovary: 3477.9	Expressed in all		
RPL17	L17, rpL23	ENSG00000265681	Ribosomal protein L17	18	49488453-49492523	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043724, HPA046385	Supported		Supported	Endoplasmic reticulum<br>Cytosol	Liver cancer:3.60e-5 (unfavourable)	Expressed in all	Expressed in all			ovary: 4394.8	Expressed in all		
RPL18	L18	ENSG00000063177	Ribosomal protein L18	19	48615328-48619536	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA046572	Approved		Enhanced	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:1.21e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2572.0	Expressed in all		
RPL18A	L18A	ENSG00000105640	Ribosomal protein L18a	19	17859876-17864153	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA055259	Approved		Approved	Nucleoli<br>Cytosol	Renal cancer:1.48e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 3084.5	Expressed in all		
RPL19	DKFZp779D216, FLJ27452, L19, MGC71997	ENSG00000108298	Ribosomal protein L19	17	39200283-39204727	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043014, HPA051987	Approved		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:6.87e-5 (unfavourable)	Expressed in all	Expressed in all			ovary: 4350.4	Cell line enriched	6	SK-BR-3: 28538.8
RPL21	DKFZp686C06101, FLJ27458, L21, MGC104274, MGC104275, MGC71252	ENSG00000122026	Ribosomal protein L21	13	27251309-27256691	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047252	Approved		Supported	Nucleoli fibrillar center<br>Endoplasmic reticulum<br>Cytosol	Melanoma:6.66e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2382.8	Expressed in all		
RPL22	EAP, L22	ENSG00000116251	Ribosomal protein L22	1	6181269-6209389	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA068294			Approved	Nucleus<br>Nucleoli		Expressed in all	Expressed in all			ovary: 1343.4	Expressed in all		
RPL22L1		ENSG00000163584	Ribosomal protein L22 like 1	3	170864875-170870483	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA048060, HPA056207, HPA068294	Uncertain		Approved	Nucleus<br>Nucleoli	Renal cancer:5.13e-12 (unfavourable), Ovarian cancer:8.60e-5 (favourable)	Expressed in all	Expressed in all			appendix: 87.1	Expressed in all		
RPL23	L23, rpL17	ENSG00000125691	Ribosomal protein L23	17	38847865-38853843	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA003373	Approved		Supported	Cytosol	Renal cancer:4.19e-5 (unfavourable)	Expressed in all	Expressed in all			ovary: 4496.9	Expressed in all		
RPL23A	L23A	ENSG00000198242	Ribosomal protein L23a	17	28719393-28724359	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA051754	Approved				Renal cancer:5.16e-6 (unfavourable)	Expressed in all	Expressed in all			ovary: 2755.0	Expressed in all		
RPL24	L24	ENSG00000114391	Ribosomal protein L24	3	101681091-101686782	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA051653	Approved		Supported	Endoplasmic reticulum<br>Cytosol	Renal cancer:2.72e-5 (unfavourable), Thyroid cancer:8.25e-4 (favourable)	Expressed in all	Expressed in all			ovary: 2893.2	Expressed in all		
RPL26	L26	ENSG00000161970	Ribosomal protein L26	17	8377520-8383213	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA030449, CAB037301	Supported		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			breast: 5194.8	Expressed in all		
RPL26L1	RPL26P1	ENSG00000037241	Ribosomal protein L26 like 1	5	172958729-172969771	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA030449	Approved		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Head and neck cancer:2.49e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 124.9	Expressed in all		
RPL27	L27	ENSG00000131469	Ribosomal protein L27	17	42998273-43002959	Cancer-related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA002649	Approved				Renal cancer:7.80e-8 (unfavourable)	Expressed in all	Expressed in all			breast: 2437.8	Expressed in all		
RPL27A	L27A	ENSG00000166441	Ribosomal protein L27a	11	8682411-8714759	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA060776, HPA063379	Supported		Supported	Endoplasmic reticulum<br>Cytosol	Renal cancer:2.83e-10 (unfavourable), Breast cancer:7.84e-5 (favourable)	Expressed in all	Expressed in all			lymph node: 2813.8	Expressed in all		
RPL28	FLJ43307, L28	ENSG00000108107	Ribosomal protein L28	19	55385345-55403250	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA050459	Approved		Supported	Endoplasmic reticulum<br>Cytosol	Renal cancer:6.61e-5 (unfavourable)	Expressed in all	Expressed in all			lymph node: 1969.2	Expressed in all		
RPL29	HIP, HUMRPL29, L29, RPL29P10	ENSG00000162244	Ribosomal protein L29	3	51993600-51995942	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA069064	Approved		Enhanced	Nucleoli<br>Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			ovary: 2738.5	Expressed in all		
RPL3	L3	ENSG00000100316	Ribosomal protein L3	22	39312882-39320389	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA003365, HPA055361	Uncertain		Supported	Nucleoli<br>Cytosol		Expressed in all	Expressed in all			ovary: 5675.2	Expressed in all		
RPL30	L30	ENSG00000156482	Ribosomal protein L30	8	98024851-98046469	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA002651	Approved		Approved	Endoplasmic reticulum<br>Cytosol	Renal cancer:1.41e-9 (unfavourable)	Expressed in all	Expressed in all			ovary: 5911.7	Expressed in all		
RPL31	L31	ENSG00000071082	Ribosomal protein L31	2	101001715-101024032	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA072263	Approved				Renal cancer:8.08e-6 (unfavourable)	Expressed in all	Expressed in all			ovary: 5539.1	Expressed in all		
RPL32	L32	ENSG00000144713	Ribosomal protein L32	3	12834485-12841588	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047501, HPA051994	Enhanced		Approved	Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			ovary: 4513.7	Expressed in all		
RPL34	L34	ENSG00000109475	Ribosomal protein L34	4	108620566-108630412	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA035139	Uncertain		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Endometrial cancer:2.76e-5 (favourable)	Expressed in all	Expressed in all			breast: 4622.0	Expressed in all		
RPL35	L35	ENSG00000136942	Ribosomal protein L35	9	124857880-124861981	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA006047	Approved		Approved	Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			ovary: 2747.0	Expressed in all		
RPL35A	L35A	ENSG00000182899	Ribosomal protein L35a	3	197949987-197956610	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level						Renal cancer:1.37e-6 (unfavourable), Pancreatic cancer:4.43e-4 (unfavourable), Liver cancer:9.89e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2041.8	Expressed in all		
RPL36	DKFZp566B023, L36	ENSG00000130255	Ribosomal protein L36	19	5674947-5691876	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047153	Supported		Uncertain	Endoplasmic reticulum<br>Cytosol	Renal cancer:2.32e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2363.0	Expressed in all		
RPL36A	L36A, RPL44	ENSG00000241343	Ribosomal protein L36a	X	101390824-101396154	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA063979, HPA077586	Uncertain		Supported	Endoplasmic reticulum<br>Plasma membrane<br>Cytosol	Renal cancer:8.81e-11 (unfavourable)	Expressed in all	Expressed in all			ovary: 3453.0	Expressed in all		
RPL36AL	RPL36A	ENSG00000165502	Ribosomal protein L36a like	14	49618519-49620685	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA077586			Approved	Endoplasmic reticulum<br>Plasma membrane<br>Cytosol	Thyroid cancer:2.83e-4 (favourable)	Expressed in all	Expressed in all			ovary: 529.4	Expressed in all		
RPL37	L37	ENSG00000145592	Ribosomal protein L37	5	40825262-40835335	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level						Renal cancer:2.67e-6 (unfavourable), Urothelial cancer:6.34e-4 (favourable)	Expressed in all	Expressed in all			breast: 925.8	Expressed in all		
RPL37A	L37A	ENSG00000197756	Ribosomal protein L37a	2	216498189-216579180	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA065327	Approved		Approved	Endoplasmic reticulum<br>Cytosol	Renal cancer:1.14e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 4523.8	Expressed in all		
RPL38	L38	ENSG00000172809	Ribosomal protein L38	17	74203582-74210655	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA052543	Approved		Supported	Endoplasmic reticulum<br>Cytosol	Renal cancer:6.17e-8 (unfavourable), Head and neck cancer:2.51e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2584.8	Expressed in all		
RPL39	L39, RPL39P42	ENSG00000198918	Ribosomal protein L39	X	119786504-119791643	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047105	Uncertain				Renal cancer:1.71e-9 (unfavourable)	Expressed in all	Expressed in all			breast: 5369.7	Expressed in all		
RPL39L	RPL39L1	ENSG00000163923	Ribosomal protein L39 like	3	187120948-187180908	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047105	Approved				Glioma:9.50e-7 (unfavourable), Ovarian cancer:1.94e-4 (favourable), Endometrial cancer:6.05e-4 (unfavourable)	Expressed in all	Tissue enriched	15	testis: 220.3	breast: 14.6	Mixed		
RPL3L		ENSG00000140986	Ribosomal protein L3 like	16	1943974-1957606	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA049136	Enhanced		Approved	Nuclear speckles		Mixed	Tissue enriched	5	skeletal muscle: 323.9	heart muscle: 61.3	Cell line enhanced		CACO-2: 3.3
RPL4	L4	ENSG00000174444	Ribosomal protein L4	15	66498015-66524532	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA034600	Uncertain		Supported	Nucleoli<br>Nuclear bodies<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:5.20e-5 (unfavourable)	Expressed in all	Expressed in all			ovary: 3692.5	Expressed in all		
RPL41	L41	ENSG00000229117	Ribosomal protein L41	12	56116586-56117943	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA053169	Approved					Expressed in all	Expressed in all			ovary: 10643.4	Expressed in all		
RPL5	L5, PPP1R135	ENSG00000122406	Ribosomal protein L5	1	92832025-92841924	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043717, HPA054444	Approved		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:6.81e-5 (unfavourable)	Expressed in all	Expressed in all			ovary: 4042.9	Expressed in all		
RPL6	L6, TAXREB107, TXREB1	ENSG00000089009	Ribosomal protein L6	12	112405190-112418838	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA060903, HPA068418	Approved		Approved	Microtubules<br>Cytokinetic bridge	Renal cancer:6.95e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 3221.7	Expressed in all		
RPL7	humL7-1, L7	ENSG00000147604	Ribosomal protein L7	8	73290267-73295789	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA058373	Approved		Approved	Nucleoli<br>Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			ovary: 5525.6	Expressed in all		
RPL7A	L7A, SURF3, TRUP	ENSG00000148303	Ribosomal protein L7a	9	133348214-133351426	Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA046794			Approved	Nucleoli<br>Vesicles	Ovarian cancer:3.60e-5 (unfavourable), Liver cancer:8.99e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2618.0	Expressed in all		
RPL7L1	dJ475N16.4	ENSG00000146223	Ribosomal protein L7 like 1	6	42879618-42889925	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA046049, HPA050478			Approved	Nucleoli<br>Mitochondria	Liver cancer:8.53e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 71.5	Expressed in all		
RPL8	L8	ENSG00000161016	Ribosomal protein L8	8	144789765-144792587	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA045095, HPA050165	Enhanced		Enhanced	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Liver cancer:7.22e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 954.7	Expressed in all		
RPL9	L9	ENSG00000163682	Ribosomal protein L9	4	39454124-39458948	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA003372	Approved	Approved	Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:7.34e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 2710.2	Expressed in all		
RPLP0	L10E, LP0, P0, PRLP0, RPP0	ENSG00000089157	Ribosomal protein lateral stalk subunit P0	12	120196686-120201235	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA003512	Approved		Supported	Endoplasmic reticulum<br>Cytosol	Renal cancer:7.66e-12 (unfavourable)	Expressed in all	Expressed in all			breast: 2860.7	Expressed in all		
RPLP1	LP1	ENSG00000137818	Ribosomal protein lateral stalk subunit P1	15	69452784-69456194	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA003368			Enhanced	Endoplasmic reticulum<br>Cytosol	Renal cancer:2.30e-9 (unfavourable)	Expressed in all	Expressed in all			ovary: 1840.0	Expressed in all		
RPLP2	D11S2243E, LP2, MGC71408, P2, RPP2	ENSG00000177600	Ribosomal protein lateral stalk subunit P2	11	809647-812880	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA053635	Approved		Approved	Mitochondria	Renal cancer:2.19e-6 (unfavourable), Liver cancer:9.14e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 1168.6	Expressed in all		
RPP38		ENSG00000152464	Ribonuclease P/MRP subunit p38	10	15097180-15139818	Enzymes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA045128, HPA050398	Approved		Supported	Nucleoli	Urothelial cancer:2.89e-6 (favourable), Liver cancer:1.46e-4 (unfavourable), Renal cancer:6.25e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 76.3	Expressed in all		
RPS10	MGC88819, S10	ENSG00000124614	Ribosomal protein S10	6	34417454-34426125	Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047268, HPA048084	Approved		Approved	Cytosol	Renal cancer:2.57e-6 (unfavourable)	Expressed in all	Expressed in all			ovary: 2704.4	Expressed in all		
RPS11	S11	ENSG00000142534	Ribosomal protein S11	19	49496365-49499689	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA049719	Uncertain		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:3.50e-7 (unfavourable)	Expressed in all	Expressed in all			ovary: 6662.2	Expressed in all		
RPS12	S12	ENSG00000112306	Ribosomal protein S12	6	132814441-132817564	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA006124, HPA006365	Approved		Supported	Golgi apparatus<br>Vesicles<br>Cytosol	Renal cancer:1.06e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 3959.0	Expressed in all		
RPS13	S13	ENSG00000110700	Ribosomal protein S13	11	17074389-17077787	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA005985	Uncertain		Approved	Endoplasmic reticulum	Renal cancer:1.54e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2365.9	Expressed in all		
RPS14	EMTB, S14	ENSG00000164587	Ribosomal protein S14	5	150443190-150449756	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA018504	Uncertain		Enhanced	Endoplasmic reticulum<br>Cytosol	Liver cancer:7.73e-4 (unfavourable), Renal cancer:8.69e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 1992.0	Expressed in all		
RPS15	MGC111130, RIG, S15	ENSG00000115268	Ribosomal protein S15	19	1438358-1440494	Cancer-related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA054510, HPA057793	Enhanced		Approved	Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			ovary: 1335.2	Expressed in all		
RPS15A	S15A	ENSG00000134419	Ribosomal protein S15a	16	18781295-18790383	Predicted intracellular proteins, Predicted membrane proteins, Ribosomal proteins	Evidence at protein level	HPA047103	Supported				Renal cancer:7.29e-7 (unfavourable)	Expressed in all	Expressed in all			breast: 4784.5	Expressed in all		
RPS16	S16	ENSG00000105193	Ribosomal protein S16	19	39433207-39435948	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA064222	Approved		Enhanced	Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			ovary: 3703.7	Expressed in all		
RPS17	MGC72007, RPS17L, RPS17L1, RPS17L2, S17	ENSG00000182774	Ribosomal protein S17	15	82536753-82540564	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA055060	Approved		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:1.78e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 1572.3	Expressed in all		
RPS18	D6S218E, HKE3, KE-3, KE3, S18	ENSG00000231500	Ribosomal protein S18	6	33272010-33276510	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA050159, HPA055007	Approved		Supported	Cytosol	Renal cancer:1.15e-10 (unfavourable), Breast cancer:9.81e-4 (favourable)	Expressed in all	Expressed in all			ovary: 1305.1	Expressed in all		
RPS19	DBA, S19	ENSG00000105372	Ribosomal protein S19	19	41859918-41872926	Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA063217			Supported	Nucleoplasm	Renal cancer:2.32e-8 (unfavourable)	Expressed in all	Expressed in all			ovary: 3251.4	Expressed in all		
RPS2	LLREP3, S2	ENSG00000140988	Ribosomal protein S2	16	1962052-1964860	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA055133	Approved		Approved	Endoplasmic reticulum<br>Cytosol	Renal cancer:3.04e-7 (unfavourable), Liver cancer:7.70e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 3063.2	Expressed in all		
RPS20	S20	ENSG00000008988	Ribosomal protein S20	8	56067295-56074581	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA003570	Approved		Supported	Endoplasmic reticulum<br>Cytosol	Renal cancer:1.21e-8 (unfavourable)	Expressed in all	Expressed in all			ovary: 4364.3	Expressed in all		
RPS21	S21	ENSG00000171858	Ribosomal protein S21	20	62387116-62388520	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA003371	Approved		Enhanced	Endoplasmic reticulum<br>Cytosol	Liver cancer:8.46e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2356.2	Expressed in all		
RPS23	S23	ENSG00000186468	Ribosomal protein S23	5	82273358-82278577	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA054853	Approved		Enhanced	Endoplasmic reticulum<br>Cytosol	Renal cancer:2.17e-4 (unfavourable), Liver cancer:4.72e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 4322.3	Expressed in all		
RPS24	S24	ENSG00000138326	Ribosomal protein S24	10	78033760-78056812	Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA003364	Approved		Approved	Nuclear bodies<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:1.10e-10 (unfavourable), Breast cancer:1.50e-4 (favourable)	Expressed in all	Expressed in all			ovary: 6825.3	Expressed in all		
RPS25	S25	ENSG00000118181	Ribosomal protein S25	11	119015712-119018691	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA031801	Approved		Approved	Endoplasmic reticulum<br>Cytosol	Renal cancer:3.00e-7 (unfavourable)	Expressed in all	Expressed in all			ovary: 945.5	Expressed in all		
