Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ESR2	Erb, NR3A2	ENSG00000140009	Estrogen receptor 2	14	64084232-64338112	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB065126	Enhanced					Not detected	Tissue enhanced		testis: 10.4	adrenal gland: 6.3	Cell line enhanced		U-266/70: 7.3;U-698: 11.3
ESRRA	ERR1, ERRa, ERRalpha, ESRL1, NR3B1	ENSG00000173153	Estrogen related receptor alpha	11	64305572-64316743	Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA053785			Supported	Nucleus<br>Nucleoli fibrillar center<br>Microtubules<br>Cytokinetic bridge	Renal cancer:1.34e-7 (favourable)	Expressed in all	Expressed in all			duodenum: 86.6	Expressed in all		
ESRRB	DFNB35, ERR2, ERRb, ERRbeta, ESRL2, NR3B2	ENSG00000119715	Estrogen related receptor beta	14	76310614-76501841	Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Mixed	Group enriched	7	heart muscle: 2.3;kidney: 5.2;skeletal muscle: 1.7;stomach: 1.5;testis: 1.4	breast: 0.3	Cell line enhanced		HMC-1: 1.0;K-562: 3.3;U-266/70: 1.2
ESRRG	NR3B3	ENSG00000196482	Estrogen related receptor gamma	1	216503246-217137755	FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA044678	Uncertain		Approved	Nucleus	Renal cancer:1.13e-11 (favourable)	Mixed	Tissue enhanced		parathyroid gland: 77.5	kidney: 31.3	Group enriched	7	RPMI-8226: 16.0;SCLC-21H: 9.4;SH-SY5Y: 44.7
ESX1	ESX1L, ESXR1	ENSG00000123576	ESX homeobox 1	X	104250038-104254933	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051992	Enhanced		Supported	Nuclear speckles		Tissue enriched	Tissue enriched	63	testis: 12.0	placenta: 0.1	Cell line enriched	9	TIME: 20.3
ETS1	ETS-1, EWSR2, FLJ10768	ENSG00000134954	ETS proto-oncogene 1, transcription factor	11	128458761-128587558	Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors	Evidence at protein level	CAB002575, HPA063230	Enhanced		Enhanced	Nucleoplasm	Renal cancer:1.30e-5 (unfavourable)	Expressed in all	Expressed in all			lymph node: 320.7	Cell line enhanced		U-698: 322.0
ETS2		ENSG00000157557	ETS proto-oncogene 2, transcription factor	21	38805307-38824955	Predicted intracellular proteins, RAS pathway related proteins, Transcription factors	Evidence at protein level	HPA003176			Enhanced	Nucleoplasm<br>Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			spleen: 252.7	Cell line enhanced		HEL: 249.9
ETV1	ER81	ENSG00000006468	ETS variant 1	7	13891228-13991425	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA077249			Approved	Nucleoplasm		Expressed in all	Tissue enhanced		cerebral cortex: 106.3	lung: 43.1	Cell line enhanced		SCLC-21H: 93.4;U-87 MG: 152.1;WM-115: 77.6
ETV2	ER71	ENSG00000105672	ETS variant 2	19	35641745-35644871	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Mixed	Tissue enhanced		testis: 8.7	duodenum: 2.1	Mixed		
ETV3	PE-1	ENSG00000117036	ETS variant 3	1	157121191-157138474	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004794	Supported		Approved	Nucleus		Expressed in all	Expressed in all			parathyroid gland: 45.4	Expressed in all		
ETV3L	FLJ16478	ENSG00000253831	ETS variant 3 like	1	157092044-157099808	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Not detected	Not detected			breast: 0.9	Cell line enriched	16	HDLM-2: 32.0
ETV4	E1A-F, E1AF, PEA3	ENSG00000175832	ETS variant 4	17	43527844-43579620	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005768	Approved		Supported	Nucleoli	Liver cancer:2.48e-4 (unfavourable), Thyroid cancer:7.60e-4 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 30.3	cerebral cortex: 13.6	Cell line enhanced		AN3-CA: 164.6;SK-MEL-30: 152.6
ETV5	ERM	ENSG00000244405	ETS variant 5	3	186046308-186110318	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB009590, HPA063065	Approved		Supported	Nucleoplasm	Liver cancer:7.85e-9 (unfavourable)	Expressed in all	Tissue enhanced		parathyroid gland: 114.5	cerebral cortex: 74.7	Cell line enhanced		SK-MEL-30: 141.2
ETV6	TEL	ENSG00000139083	ETS variant 6	12	11649854-11895402	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA000264	Enhanced		Enhanced	Nucleoli<br>Cytosol	Renal cancer:4.66e-8 (unfavourable), Urothelial cancer:1.54e-5 (favourable), Pancreatic cancer:9.38e-5 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 26.4	Cell line enhanced		HDLM-2: 80.8
ETV7	TEL-2, TEL2	ENSG00000010030	ETS variant 7	6	36354091-36387800	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029033, HPA049689	Uncertain		Enhanced	Nucleoplasm	Urothelial cancer:2.95e-6 (favourable), Cervical cancer:5.16e-4 (favourable), Ovarian cancer:5.32e-4 (favourable)	Expressed in all	Mixed			skin: 19.9	Cell line enhanced		BEWO: 26.5;BJ hTERT+ SV40 Large T+ RasG12V: 26.4;HDLM-2: 55.2
EVX1		ENSG00000106038	Even-skipped homeobox 1	7	27242700-27250493	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA055132			Approved	Nucleoplasm		Mixed	Tissue enhanced		adrenal gland: 3.7;prostate: 4.5;seminal vesicle: 4.0	testis: 1.3	Cell line enriched	10	RT4: 11.7
EVX2		ENSG00000174279	Even-skipped homeobox 2	2	176077472-176083913	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA041576	Uncertain					Not detected	Tissue enhanced		prostate: 2.0;seminal vesicle: 2.2;testis: 2.7	cervix, uterine: 1.1	Not detected		
FERD3L	bHLHa31, N-TWIST, NATO3	ENSG00000146618	Fer3 like bHLH transcription factor	7	19144782-19145421	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043494	Uncertain					Not detected	Not detected			cerebral cortex: 0.5	Cell line enriched	129	SCLC-21H: 12.8
FEV	Pet-1	ENSG00000163497	FEV, ETS transcription factor	2	218981087-218985657	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA067679		Supported	Supported	Nuclear speckles	Pancreatic cancer:4.85e-4 (favourable)	Group enriched	Tissue enhanced		adrenal gland: 2.1;duodenum: 2.9;prostate: 1.9;stomach: 2.4	small intestine: 1.6	Group enriched	6	HMC-1: 22.4;SH-SY5Y: 34.6
FEZF1	ZNF312B	ENSG00000128610	FEZ family zinc finger 1	7	122301394-122310691	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA064639, HPA073693	Approved		Supported	Nucleus<br>Cytosol		Mixed	Tissue enriched	44	testis: 7.0	adipose tissue,cerebral cortex: 0.1	Group enriched	10	NTERA-2: 161.5;SCLC-21H: 82.6
FEZF2	FEZL, FKSG36, FLJ10142, TOF, Zfp312, ZNF312	ENSG00000153266	FEZ family zinc finger 2	3	62369681-62374324	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Tissue enhanced	Tissue enriched	30	cerebral cortex: 11.7	colon: 0.3	Cell line enhanced		AF22: 1.4;NTERA-2: 1.0
FIGLA	bHLHc8	ENSG00000183733	Folliculogenesis specific bHLH transcription factor	2	70777310-70790643	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Not detected	Tissue enriched	6	testis: 1.2	cervix, uterine: 0.2	Not detected		
FIZ1	FLJ14768, ZNF798	ENSG00000179943	FLT3 interacting zinc finger 1	19	55591371-55601970	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA074026			Approved	Nucleus	Urothelial cancer:2.02e-4 (favourable), Pancreatic cancer:8.42e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 19.6	Expressed in all		
FLI1	EWSR2, SIC-1	ENSG00000151702	Fli-1 proto-oncogene, ETS transcription factor	11	128686535-128813267	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA073099			Supported	Nucleus<br>Nuclear bodies	Renal cancer:4.60e-4 (unfavourable)	Expressed in all	Tissue enhanced		spleen: 46.1	placenta: 15.6	Cell line enhanced		HEL: 93.0;HUVEC TERT2: 46.8;REH: 44.4;TIME: 47.8
FOS	AP-1, c-fos	ENSG00000170345	Fos proto-oncogene, AP-1 transcription factor subunit	14	75278774-75282230	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA018531	Approved		Supported	Nucleoplasm	Prostate cancer:7.81e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 1853.4	Cell line enriched	5	hTCEpi: 324.8
FOSB	AP-1, DKFZp686C0818, G0S3, GOS3, GOSB, MGC42291	ENSG00000125740	FosB proto-oncogene, AP-1 transcription factor subunit	19	45467995-45475179	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB010267, HPA054663	Approved		Supported	Nucleoplasm<br>Vesicles		Expressed in all	Mixed			gallbladder: 558.7	Cell line enhanced		HMC-1: 11.7;SK-BR-3: 7.4
FOSL1	fra-1	ENSG00000175592	FOS like 1, AP-1 transcription factor subunit	11	65892049-65900573	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004396, HPA066901	Uncertain		Enhanced	Nucleoplasm	Renal cancer:6.40e-6 (unfavourable), Pancreatic cancer:9.26e-5 (unfavourable), Lung cancer:1.95e-4 (unfavourable), Head and neck cancer:2.05e-4 (unfavourable), Glioma:2.46e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 35.6;gallbladder: 51.7	urinary bladder: 26.8	Cell line enhanced		PC-3: 759.0;WM-115: 1227.8
FOSL2	FLJ23306, FRA2	ENSG00000075426	FOS like 2, AP-1 transcription factor subunit	2	28392448-28417312	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004817, CAB013460, HPA061417	Supported		Enhanced	Nucleus		Expressed in all	Expressed in all			adrenal gland: 224.8	Mixed		
FOXA1	HNF3A	ENSG00000129514	Forkhead box A1	14	37589984-37596059	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB011595, HPA050505	Enhanced		Supported	Nucleoplasm<br>Nucleoli fibrillar center	Urothelial cancer:1.00e-4 (favourable)	Tissue enhanced	Tissue enhanced		prostate: 146.0	breast: 36.3	Cell line enhanced		MCF7: 98.8;PC-3: 81.2;RT4: 94.9;SK-BR-3: 88.5;T-47d: 157.4
FOXA2	HNF3B	ENSG00000125798	Forkhead box A2	20	22581005-22585455	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB001388, HPA066846	Enhanced		Supported	Nucleoplasm<br>Cell Junctions	Endometrial cancer:7.57e-6 (favourable), Pancreatic cancer:2.34e-4 (favourable), Ovarian cancer:6.28e-4 (favourable)	Mixed	Tissue enhanced		cervix, uterine: 21.4;lung: 20.5;stomach: 31.0	liver: 11.5	Cell line enhanced		A549: 16.1;HBEC3-KT: 14.5;Hep G2: 19.5;PC-3: 24.0;SCLC-21H: 52.3
FOXA3	HNF3G	ENSG00000170608	Forkhead box A3	19	45863989-45873797	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB015154, HPA054034	Uncertain		Approved	Nucleoplasm		Mixed	Group enriched	5	colon: 16.7;duodenum: 10.3;liver: 32.5;pancreas: 9.8;rectum: 17.9;small intestine: 13.9;stomach: 33.8	gallbladder: 3.6	Cell line enhanced		CACO-2: 8.4;HDLM-2: 11.2;Hep G2: 18.9;K-562: 20.1;NTERA-2: 10.8
FOXB1	FKH5, HFKH-5	ENSG00000171956	Forkhead box B1	15	60004222-60061730	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA073369			Approved	Nucleoplasm<br>Mitochondria		Tissue enhanced	Not detected			testis: 0.7	Cell line enhanced		AF22: 6.3;HDLM-2: 13.5;HEK 293: 9.8
FOXB2	bA159H20.4	ENSG00000204612	Forkhead box B2	9	77019655-77020953	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA067947	Uncertain					Tissue enhanced	Not detected			all non-specific tissues: 0.0	Cell line enriched	10	NTERA-2: 1.3
FOXC1	ARA, FKHL7, FREAC3, IGDA, IHG1, IRID1	ENSG00000054598	Forkhead box C1	6	1609972-1613897	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA040670	Enhanced		Supported	Nucleoplasm<br>Cytosol	Colorectal cancer:3.53e-4 (unfavourable)	Expressed in all	Tissue enhanced		salivary gland: 66.2	kidney: 21.8	Cell line enhanced		AN3-CA: 86.7;HEK 293: 85.3
FOXC2	FKHL14, MFH-1	ENSG00000176692	Forkhead box C2	16	86567251-86569728	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA056302			Supported	Nucleoplasm<br>Nuclear bodies	Renal cancer:3.57e-7 (unfavourable)	Mixed	Mixed			kidney: 2.8	Cell line enhanced		hTEC/SVTERT24-B: 29.9;LHCN-M2: 30.9;TIME: 34.0;U-2197: 34.2;U-87 MG: 27.6
FOXD1	FKHL8, FREAC4	ENSG00000251493	Forkhead box D1	5	73444827-73448527	Predicted intracellular proteins, Transcription factors	Evidence at protein level						Head and neck cancer:2.73e-4 (unfavourable), Urothelial cancer:9.65e-4 (unfavourable)	Mixed	Tissue enhanced		testis: 4.5	adrenal gland: 2.6	Cell line enhanced		hTEC/SVTERT24-B: 60.8;U-138 MG: 79.5
FOXD2	FKHL17, FREAC9	ENSG00000186564	Forkhead box D2	1	47436017-47440691	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Mixed	Tissue enhanced		colon: 3.4;rectum: 2.7	prostate: 1.1	Cell line enhanced		AN3-CA: 11.3;WM-115: 17.4
FOXD3	Genesis, HFH2	ENSG00000187140	Forkhead box D3	1	63323041-63325126	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB022455	Uncertain					Group enriched	Mixed			testis: 1.0	Cell line enhanced		NTERA-2: 14.7;SK-MEL-30: 9.4;WM-115: 18.2
FOXD4	FKHL9, FOXD4a, FREAC5	ENSG00000170122	Forkhead box D4	9	116231-118204	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA012836	Uncertain		Approved	Nucleus		Mixed	Not detected			testis: 0.8	Cell line enhanced		THP-1: 2.9
FOXD4L1	FOXD5	ENSG00000184492	Forkhead box D4-like 1	2	113498665-113501155	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA012836	Uncertain		Approved	Nucleus		Not detected	Not detected			testis: 0.6	Cell line enhanced		RH-30: 1.6
FOXD4L3	FOXD6	ENSG00000187559	Forkhead box D4-like 3	9	68302867-68304905	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA012836	Uncertain		Approved	Nucleus		Not detected	Not detected			spleen: 0.3	Not detected		
FOXD4L4	bA460E7.2, FOXD4L2	ENSG00000184659	Forkhead box D4-like 4	9	65736555-65738784	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA012836	Uncertain		Approved	Nucleus		Not detected	Not detected			cerebral cortex: 0.1	Not detected		
FOXD4L5	bA15J10.2	ENSG00000204779	Forkhead box D4-like 5	9	65282101-65285209	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA012836	Uncertain		Approved	Nucleus		Not detected	Not detected			cerebral cortex: 0.6	Mixed		
FOXD4L6		ENSG00000273514	Forkhead box D4-like 6	9	41126430-41128463	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA012836	Uncertain		Approved	Nucleus		Not detected	Not detected			cerebral cortex: 0.3	Not detected		
FOXE1	FKHL15, FOXE2, HFKH4, TITF2, TTF-2	ENSG00000178919	Forkhead box E1	9	97853254-97856715	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Tissue enhanced	Tissue enriched	15	thyroid gland: 327.9	tonsil: 22.1	Cell line enhanced		A-431: 12.2;HeLa: 13.5;RPTEC TERT1: 14.9;SiHa: 15.7
FOXE3	FKHL12, FREAC8	ENSG00000186790	Forkhead box E3	1	47416072-47418052	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Tissue enhanced	Not detected			testis: 0.5	Not detected		
FOXF1	FKHL5, FREAC1	ENSG00000103241	Forkhead box F1	16	86510527-86515418	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028886			Approved	Nucleoplasm		Mixed	Mixed			placenta: 33.0	Cell line enhanced		BJ: 10.8;BJ hTERT+: 22.8;HHSteC: 22.2;U-2197: 11.1
FOXF2	FKHL6, FREAC2	ENSG00000137273	Forkhead box F2	6	1389834-1395597	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Mixed	Mixed			lung: 18.4	Cell line enhanced		BJ hTERT+: 64.9;HEK 293: 24.6;U-2197: 30.0
FOXG1	BF1, FKH2, FKHL1, FKHL2, FKHL3, FKHL4, FOXG1A, FOXG1B, FOXG1C, HBF-3, HFK1, HFK2, HFK3, QIN	ENSG00000176165	Forkhead box G1	14	28760330-28770277	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Tissue enriched	Tissue enriched	6	cerebral cortex: 29.6	testis: 5.2	Cell line enhanced		HEK 293: 10.3;SCLC-21H: 34.2;U-138 MG: 17.5;U-251 MG: 15.3
FOXH1	FAST1	ENSG00000160973	Forkhead box H1	8	144473412-144476335	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Tissue enriched	Not detected			small intestine: 0.9	Cell line enriched	21	NTERA-2: 20.6
FOXI1	FKHL10, FREAC6	ENSG00000168269	Forkhead box I1	5	170105897-170109725	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA071469	Enhanced		Uncertain	Nucleoli<br>Vesicles		Group enriched	Tissue enhanced		breast: 10.4;kidney: 20.0	salivary gland: 6.2	Cell line enhanced		MCF7: 1.2
FOXI2	FLJ46831	ENSG00000186766	Forkhead box I2	10	127737235-127741186	Predicted intracellular proteins, Transcription factors	Evidence at transcript level						Renal cancer:4.23e-7 (favourable)	Tissue enriched	Tissue enhanced		cervix, uterine: 2.6	kidney: 1.6	Not detected		
FOXI3		ENSG00000214336	Forkhead box I3	2	88446787-88452656	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Tissue enhanced	Tissue enriched	9	placenta: 7.4	testis: 0.8	Cell line enhanced		BEWO: 42.3;HAP1: 6.2;NTERA-2: 11.0
FOXJ1	FKHL13, HFH-4, HFH4	ENSG00000129654	Forkhead box J1	17	76136333-76141299	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005714	Enhanced				Renal cancer:2.03e-5 (unfavourable), Breast cancer:9.39e-4 (favourable)	Tissue enhanced	Tissue enriched	8	fallopian tube: 83.6	lung: 10.3	Group enriched	10	BEWO: 28.2;CAPAN-2: 21.8
FOXJ2	FHX	ENSG00000065970	Forkhead box J2	12	8032703-8055503	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA008723	Approved		Supported	Nucleus<br>Nucleoli fibrillar center	Renal cancer:4.63e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 28.7	Mixed		
FOXJ3	KIAA1041	ENSG00000198815	Forkhead box J3	1	42176539-42335877	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA067284			Approved	Nucleoplasm<br>Nuclear speckles<br>Vesicles	Renal cancer:4.51e-7 (unfavourable), Liver cancer:5.17e-6 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 40.1	Expressed in all		
FOXK1	IMAGE:5164497	ENSG00000164916	Forkhead box K1	7	4682309-4771443	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA017998, HPA018864	Enhanced		Supported	Nucleoplasm<br>Nucleoli fibrillar center	Liver cancer:2.54e-6 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 12.4	Expressed in all		
FOXK2	ILF, ILF1	ENSG00000141568	Forkhead box K2	17	82519713-82644662	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA027523	Approved		Supported	Nucleoplasm<br>Vesicles	Liver cancer:1.24e-6 (unfavourable)	Expressed in all	Expressed in all			testis: 53.2	Expressed in all		
FOXL1	FKH6, FKHL11, FREAC7	ENSG00000176678	Forkhead box L1	16	86576368-86582160	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Tissue enhanced	Tissue enhanced		gallbladder: 8.3	duodenum: 3.1	Cell line enhanced		CAPAN-2: 33.6;PC-3: 45.9;U-87 MG: 104.7
FOXL2	BPES, BPES1	ENSG00000183770	Forkhead box L2	3	138944224-138947140	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA069613	Enhanced		Supported	Nucleus<br>Cytokinetic bridge		Mixed	Tissue enhanced		endometrium: 12.1;ovary: 29.6;parathyroid gland: 24.4	fallopian tube: 7.7	Cell line enhanced		A-431: 4.3;fHDF/TERT166: 4.3;HEL: 7.2;hTCEpi: 5.1;K-562: 7.5;SiHa: 5.9
FOXM1	FKHL16, HFH-11, HNF-3, INS-1, MPHOSPH2, MPP2, TGT3, trident	ENSG00000111206	Forkhead box M1	12	2857681-2877155	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB017832	Uncertain		Supported	Nucleus<br>Nucleoli<br>Cytosol	Renal cancer:0.00e+0 (unfavourable), Liver cancer:1.95e-6 (unfavourable), Pancreatic cancer:3.03e-5 (unfavourable), Lung cancer:2.92e-4 (unfavourable)	Expressed in all	Tissue enhanced		testis: 39.6	bone marrow: 15.9	Expressed in all		
FOXN1	FKHL20, RONU, WHN	ENSG00000109101	Forkhead box N1	17	28506243-28538896	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at transcript level						Head and neck cancer:5.00e-4 (favourable), Cervical cancer:6.43e-4 (favourable)	Tissue enhanced	Tissue enhanced		esophagus: 7.2;skin: 35.2	tonsil: 5.1	Cell line enriched	8	HaCaT: 10.3
FOXN2	HTLF	ENSG00000170802	Forkhead box N2	2	48314637-48379294	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003485	Supported		Supported	Nucleus<br>Vesicles	Renal cancer:2.81e-5 (unfavourable), Glioma:5.14e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 36.4	Expressed in all		
FOXN3	C14orf116, CHES1	ENSG00000053254	Forkhead box N3	14	89124871-89619149	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059209	Approved		Approved	Nucleus<br>Plasma membrane	Renal cancer:9.58e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 111.0	Mixed		
FOXN4		ENSG00000139445	Forkhead box N4	12	109277979-109309220	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA050018	Uncertain		Approved	Nucleus<br>Mitochondria<br>Cytosol		Tissue enhanced	Tissue enriched	13	testis: 10.7	cervix, uterine: 0.8	Cell line enhanced		SCLC-21H: 4.2;SH-SY5Y: 3.9;U-266/70: 3.9
FOXO1	FKH1, FKHR, FOXO1A	ENSG00000150907	Forkhead box O1	13	40469953-40666597	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001252, CAB022326	Approved	Approved	Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.33e-5 (favourable), Liver cancer:3.74e-4 (favourable)	Expressed in all	Expressed in all			ovary: 80.7	Cell line enhanced		HSkMC: 39.2;U-698: 40.3
FOXO3	AF6q21, FKHRL1, FOXO2, FOXO3A	ENSG00000118689	Forkhead box O3	6	108559835-108684774	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004074, HPA063104	Supported		Enhanced	Nucleus		Expressed in all	Expressed in all			ovary: 55.1	Expressed in all		
FOXO4	AFX1, MLLT7	ENSG00000184481	Forkhead box O4	X	71096197-71103535	Cancer-related genes, Disease related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors	Evidence at protein level	HPA039560, HPA040232	Approved		Supported	Nuclear speckles<br>Cytosol	Renal cancer:3.46e-4 (favourable), Head and neck cancer:4.61e-4 (favourable)	Expressed in all	Expressed in all			placenta: 172.7	Cell line enriched	8	BEWO: 154.9
FOXP1	12CC4, hFKH1B, HSPC215, QRF1	ENSG00000114861	Forkhead box P1	3	70954693-71583989	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003876, CAB011501	Supported		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			ovary: 39.7	Expressed in all		
FOXP2	CAGH44, SPCH1, TNRC10	ENSG00000128573	Forkhead box P2	7	114086327-114693772	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA000382, HPA000383, HPA001679	Enhanced		Enhanced	Nucleoplasm		Mixed	Mixed			endometrium: 13.7	Cell line enhanced		AF22: 20.9;RH-30: 37.7
FOXP3	AIID, DIETER, IPEX, JM2, PIDX, SCURFIN, XPID	ENSG00000049768	Forkhead box P3	X	49250436-49264826	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB026301, HPA045943	Enhanced		Supported	Nucleoplasm	Cervical cancer:1.91e-4 (favourable), Head and neck cancer:4.90e-4 (favourable), Endometrial cancer:7.02e-4 (favourable)	Mixed	Tissue enhanced		appendix: 8.7	lymph node: 6.0	Cell line enhanced		MCF7: 2.8;SiHa: 2.3
FOXP4	FLJ40908	ENSG00000137166	Forkhead box P4	6	41546426-41602384	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA007176	Approved		Approved	Nucleoplasm<br>Cytosol	Endometrial cancer:1.17e-6 (unfavourable), Liver cancer:9.72e-4 (unfavourable)	Expressed in all	Expressed in all			stomach: 36.9	Expressed in all		
FOXQ1	HFH1	ENSG00000164379	Forkhead box Q1	6	1312440-1314748	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059700			Supported	Nucleus	Prostate cancer:6.68e-4 (favourable)	Expressed in all	Tissue enhanced		stomach: 105.8;urinary bladder: 43.8	skin: 33.1	Cell line enhanced		CACO-2: 32.2;HaCaT: 39.8;Hep G2: 65.9;RT4: 32.0
FOXR1	DLNB13, FOXN5	ENSG00000176302	Forkhead box R1	11	118971707-118981291	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Tissue enriched	Tissue enriched	14	testis: 3.1	thyroid gland: 0.2	Not detected		
FOXR2	FOXN6, MGC21658	ENSG00000189299	Forkhead box R2	X	55623400-55625325	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA034487, HPA057358	Uncertain		Supported	Nucleoplasm		Tissue enhanced	Tissue enriched	15	testis: 2.8	epididymis: 0.1	Group enriched	107	NTERA-2: 12.2;SH-SY5Y: 11.3;U-266/70: 5.4;U-266/84: 13.9
